Odd_H_Bin,Odd_A_Bin,Mean_Goals_H,Mean_Goals_A,Mean_Goals_H_S,Mean_Goals_A_S
"(2.6, 2.7]","(2.5, 2.6]",1.2974504249291785,1.3552123552123552,1.3257790368271956,1.22007722007722
"(2.3, 2.4]","(2.9, 3.0]",1.2321428571428572,1.1254125412541254,1.0688775510204083,1.2112211221122111
"(2.6, 2.7]","(2.4, 2.5]",1.2974504249291785,1.2596491228070175,1.3257790368271956,1.287719298245614
"(2.1, 2.2]","(3.0, 3.1]",1.4109848484848484,1.0706713780918728,1.0681818181818181,1.2968197879858658
"(2.3, 2.4]","(3.0, 3.1]",1.2321428571428572,1.0706713780918728,1.0688775510204083,1.2968197879858658
"(2.6, 2.7]","(2.7, 2.8]",1.2974504249291785,1.3106508875739644,1.3257790368271956,1.3136094674556213
"(2.9, 3.0]","(2.3, 2.4]",1.180952380952381,1.4149659863945578,1.3238095238095238,1.2108843537414966
"(1.9, 2.0]","(3.5, 3.6]",1.4210526315789473,1.114814814814815,0.9774436090225563,1.3592592592592592
"(2.1, 2.2]","(3.3, 3.4]",1.4109848484848484,1.0916666666666666,1.0681818181818181,1.5083333333333333
"(2.2, 2.3]","(2.8, 2.9]",1.4346289752650176,1.2161383285302594,1.1925795053003534,1.2968299711815563
"(2.4, 2.5]","(2.9, 3.0]",1.2980295566502462,1.1254125412541254,1.229064039408867,1.2112211221122111
"(1.9, 2.0]","(4.1, 4.2]",1.4210526315789473,0.9828326180257511,0.9774436090225563,1.5407725321888412
"(2.1, 2.2]","(3.7, 3.8]",1.4109848484848484,1.0519187358916477,1.0681818181818181,1.437923250564334
"(2.0, 2.1]","(3.3, 3.4]",1.4924812030075187,1.0916666666666666,1.0601503759398496,1.5083333333333333
"(1.6, 1.7]","(4.9, 5.0]",1.717153284671533,0.8042553191489362,0.8923357664233577,1.6851063829787234
"(3.3, 3.4]","(2.1, 2.2]",1.1735537190082646,1.5267175572519085,1.6611570247933884,1.0954198473282444
"(2.4, 2.5]","(2.6, 2.7]",1.2980295566502462,1.107033639143731,1.229064039408867,1.2477064220183487
"(2.1, 2.2]","(3.2, 3.3]",1.4109848484848484,1.0727272727272728,1.0681818181818181,1.412121212121212
"(2.4, 2.5]","(2.7, 2.8]",1.2980295566502462,1.3106508875739644,1.229064039408867,1.3136094674556213
"(1.3, 1.4]","(7.9, 8.0]",2.2891156462585034,0.8860759493670886,0.7482993197278912,2.2911392405063293
"(1.7, 1.8]","(4.3, 4.4]",1.7216117216117217,1.0232558139534884,0.9120879120879121,1.6604651162790698
"(2.9, 3.0]","(2.2, 2.3]",1.180952380952381,1.5309446254071661,1.3238095238095238,1.0846905537459284
"(2.2, 2.3]","(2.9, 3.0]",1.4346289752650176,1.1254125412541254,1.1925795053003534,1.2112211221122111
"(1.6, 1.7]","(5.9, 6.0]",1.717153284671533,0.765625,0.8923357664233577,1.796875
"(2.5, 2.6]","(2.6, 2.7]",1.2472727272727273,1.107033639143731,1.1054545454545455,1.2477064220183487
"(1.9, 2.0]","(3.7, 3.8]",1.4210526315789473,1.0519187358916477,0.9774436090225563,1.437923250564334
"(3.5, 3.6]","(2.0, 2.1]",1.0642201834862386,1.5810810810810811,1.5596330275229358,1.1936936936936937
"(1.8, 1.9]","(4.4, 4.5]",1.6560509554140128,0.8333333333333334,1.048832271762208,1.6936936936936937
"(1.8, 1.9]","(4.1, 4.2]",1.6560509554140128,0.9828326180257511,1.048832271762208,1.5407725321888412
